date,time,location_X,location_Y,lat,lon,mag,place,type
2023-01-22,02:13:36,250944.16359737745,583557.2921032786,53.23,6.824,0.3,Schildwolde,induced earthquake
2023-01-15,09:49:09,244774.30012301935,599134.0092831701,53.371,6.736,1.8,Garsthuizen,induced earthquake
2023-01-03,09:38:31,244774.30012301935,599134.0092831701,53.371,6.736,1.3,Garsthuizen,induced earthquake
2022-12-28,21:33:14,238405.73912121964,586328.908645485,53.257,6.637,0.4,Thesinge,induced earthquake
2022-12-26,16:18:17,244389.35785847856,594785.3290249336,53.332,6.729,1,Loppersum,induced earthquake
2022-12-22,23:04:47,246986.84747682777,580919.6897075969,53.207,6.764,1.9,Froombosch,induced earthquake
2022-12-20,14:51:23,247831.87638780643,592513.0183561484,53.311,6.78,0.4,Garrelsweer,induced earthquake
2022-12-14,20:08:37,245337.4989917019,583337.3793637576,53.229,6.74,1,Woudbloem,induced earthquake
2022-12-06,11:08:43,248980.10970226204,591756.1303433004,53.304,6.797,1.7,Wirdum,induced earthquake
2022-12-04,15:36:02,252222.99891110207,576458.5924570224,53.166,6.841,0.9,Zuidbroek,induced earthquake
2022-12-04,07:31:42,238886.45213220437,585558.0851276886,53.25,6.644,0.6,Garmerwolde,induced earthquake
2022-11-03,18:29:53,236520.27299069223,587298.3600421213,53.266,6.609,0.6,Zuidwolde,induced earthquake
2022-10-26,07:16:28,248678.7073265288,593531.3696797503,53.32,6.793,1.1,Wirdum,induced earthquake
2022-10-22,14:32:51,248678.7073265288,593531.3696797503,53.32,6.793,1,Wirdum,induced earthquake
2022-10-22,10:14:04,248747.5141914215,593421.3930427638,53.319,6.794,2.2,Wirdum,induced earthquake
2022-10-14,22:02:28,247146.17595133523,593501.6786559493,53.32,6.77,0.4,Garrelsweer,induced earthquake
2022-10-13,16:08:48,247485.77300413465,593174.2544854248,53.317,6.775,1.4,Wirdum,induced earthquake
2022-10-11,15:36:39,241652.36473175988,602416.0931177244,53.401,6.69,1.3,Uithuizen,induced earthquake
2022-10-08,05:35:36,247214.9475495411,593391.6802368991,53.319,6.771,1.2,Garrelsweer,induced earthquake
2022-10-08,02:17:17,247281.5810216253,593392.9619144595,53.319,6.772,3.1,Wirdum,induced earthquake
2022-09-24,11:37:29,241722.90662892425,602194.7303612938,53.399,6.691,1.7,Uithuizen,induced earthquake
2022-09-24,10:20:38,241791.4360111907,602084.6525553282,53.398,6.692,2.7,Uithuizen,induced earthquake
2022-09-22,04:07:39,253240.9063974379,588835.7660962146,53.277,6.86,1.1,Tjuchem,induced earthquake
2022-09-19,19:38:40,248295.1134507429,599535.2811555343,53.374,6.789,0.8,'t Zandt,induced earthquake
2022-09-19,08:03:56,241656.3958826518,602193.5252638031,53.399,6.69,0.7,Uithuizen,induced earthquake
2022-09-18,04:10:00,240797.74139065348,601844.0908723939,53.396,6.677,0.8,Uithuizen,induced earthquake
2022-09-09,00:39:11,241924.46053799824,602087.0674130018,53.398,6.694,2.3,Uithuizen,induced earthquake
2022-08-28,03:18:59,241922.43879622823,602198.3512010894,53.399,6.694,1.3,Uithuizen,induced earthquake
2022-08-19,05:49:14,241922.43879622823,602198.3512010894,53.399,6.694,1.9,Uithuizen,induced earthquake
2022-08-09,03:50:08,250855.2059342215,584668.709162199,53.24,6.823,0.1,Schildwolde,induced earthquake
2022-07-16,09:14:40,246508.2497887673,595493.228737643,53.338,6.761,0.9,Loppersum,induced earthquake
2022-07-15,18:31:22,246358.0697559171,596380.929563421,53.346,6.759,0.3,Zeerijp,induced earthquake
2022-07-13,16:52:27,245664.6392240004,587239.6152587205,53.264,6.746,0.4,Luddeweer,induced earthquake
2022-07-04,18:19:30,245931.0580397402,597819.9792619483,53.359,6.753,1.1,Zeerijp,induced earthquake
2022-06-16,20:17:31,242921.4553451325,583960.4864163883,53.235,6.704,0.9,Harkstede,induced earthquake
2022-06-11,11:09:54,244528.88647199035,598016.2082369602,53.361,6.732,0.7,Zeerijp,induced earthquake
2022-06-10,01:42:37,241720.8865369431,598632.4609352468,53.367,6.69,0.5,Eppenhuizen,induced earthquake
2022-06-08,21:04:24,247533.0827351148,594177.0519893114,53.326,6.776,0.2,Wirdum,induced earthquake
2022-05-10,04:15:08,245929.9160941745,594369.0215636096,53.328,6.752,0.6,Loppersum,induced earthquake
2022-05-09,03:38:52,247599.70532112877,594178.3381474141,53.326,6.777,0.4,Wirdum,induced earthquake
2022-05-05,09:05:00,244586.4079490786,584213.8517488476,53.237,6.729,1.8,Lageland,induced earthquake
2022-04-17,13:44:19,243286.62848868335,596768.6355092751,53.35,6.713,0.7,Westeremden,induced earthquake
2022-04-17,13:27:46,243417.74746044033,596882.3726398029,53.351,6.715,1.6,Westeremden,induced earthquake
2022-04-17,06:33:42,237593.4884328847,586982.7542628493,53.263,6.625,0.6,Zuidwolde,induced earthquake
2022-04-13,07:19:27,244664.10754627787,597907.4170883707,53.36,6.734,0.5,Zeerijp,induced earthquake
2022-04-01,17:11:08,245848.53386673535,595146.718772898,53.335,6.751,2.7,Loppersum,induced earthquake
2022-03-30,19:18:41,242787.88882786044,598540.5814008523,53.366,6.706,0.5,Startenhuizen Lopp,induced earthquake
2022-03-06,13:18:30,244732.76267268448,597797.3822348808,53.359,6.735,2.1,Zeerijp,induced earthquake
2022-03-01,19:40:23,243378.72763514752,598996.7283933292,53.37,6.715,0.7,Garsthuizen,induced earthquake
2022-03-01,17:32:08,243243.566267055,599105.5558784738,53.371,6.713,0.2,Startenhuizen Lopp,induced earthquake
